route_number,from_stop,to_stop,distance_km
29C,9921938904,611743120,0.7840240208924468
29C,611743120,3216970916,0.08394680359543212
29C,3216970916,9921942426,11.43475601015285
29C,9921942426,3216957362,12.076629235151914
29C,3216957362,9921938899,0.42810450753023604
29C,9921938899,3216958497,0.006352787615111192
29C,3216958497,9921938898,0.31453054970626826
29C,9921938898,3216970886,0.013927172200099251
29C,3216970886,9921938897,0.3024829553970813
29C,9921938897,9921938896,0.5867375340591603
29C,9921938896,3216985354,0.010335843071349344
29C,3216985354,257932256,0.39869833564844753
29C,257932256,3216986182,0.013354706156038749
29C,3216986182,9921938894,0.711424170162467
29C,9921938894,3215513434,0.005808784428632506
29C,3215513434,9921938893,0.5888471728227829
29C,9921938893,3216986967,0.005262179076748913
29C,3216986967,9921938892,0.3879329077340209
29C,9921938892,384486247,0.015177656161584783
29C,384486247,9921938891,0.31707982078883945
29C,9921938891,3216990390,0.0036499105177661122
29C,3216990390,9921938890,1.4276420243703125
29C,9921938890,415913904,0.008110457123216506
29C,415913904,9921938889,0.5657825485232559
29C,9921938889,3216990971,0.0021923046578193935
29C,3216990971,9921938888,0.16741552404992777
29C,9921938888,9921938887,0.050390788703458804
29C,9921938887,3216991399,0.0012133411136215086
29C,3216991399,9921938886,0.6753727608467411
29C,9921938886,3216993078,0.0051959117810946595
29C,3216993078,9921938885,0.1424660539599065
29C,9921938885,360807295,0.01341113522950176
29C,360807295,9921938884,0.2484399381499462
29C,9921938884,3216991543,0.006007605734838725
29C,3216991543,9921938883,0.28177674370550143
29C,9921938883,3216995418,0.005095175635973882
29C,3216995418,9921938882,0.4559654155025923
29C,9921938882,378688568,0.005830522818740836
29C,378688568,9921938881,0.1370083316017061
29C,9921938881,9921938880,0.31450251225039977
29C,9921938880,9921938879,0.33920215002225623
29C,9921938879,355515114,0.00385384857944038
29C,355515114,9921938878,0.7350218717788678
29C,9921938878,9734368257,0.0033336889976153007
29C,9734368257,9921938877,0.2313230760055956
29C,9921938877,9734386075,0.002579745041530734
29C,9734386075,9921938876,0.4538067576500505
29C,9921938876,2485153591,0.006197897602189506
29C,2485153591,9921938875,0.4676613850982381
29C,9921938875,3216998713,0.005742285697859746
29C,3216998713,2188511086,0.3609254167579155
29C,2188511086,3216997832,0.005109159423265508
29C,3216997832,9921938874,0.055270012157954525
29C,9921938874,410614397,0.007369808202684045
29C,410614397,9921938873,0.4692112364613368
29C,9921938873,3216999998,0.004409123715109902
29C,3216999998,9921938872,0.3086936453801476
29C,9921938872,418116040,0.010863306418328774
29C,418116040,3216996445,0.21952896057928212
29C,3216996445,3217004886,1.190884951477728
29C,3217004886,249497682,0.5832623539709922
29C,249497682,334713155,0.008569186640434434
29C,334713155,9921938869,1.2361861987439402
29C,9921938869,2587530809,0.0025300584101614026
29C,2587530809,9921938868,0.17211958662040283
29C,9921938868,3217004939,0.009102103471711854
29C,3217004939,9921938867,0.7352248602944299
29C,9921938867,313783576,0.005768926858172347
29C,313783576,9921938866,0.5701396402978977
29C,9921938866,417750654,0.005221283947548685
29C,417750654,4421925892,8.18270745066563
29C,4421925892,3216986939,2.6370804002411172
29C,3216986939,405508932,4.749046352896949
15B,966544114,303284248,0.12545671106272355
15B,303284248,941583422,5.613628588997241
15B,941583422,7412932325,7.0353997448136685
